query,std reasoner,std nodes explored,std min depth,success,time
1,std,1000000,0,False,9.791813428000001
2,std,4,3,True,0.017184286999999188
3,std,863,7,True,0.7005121440000011
4,std,4,3,True,0.006362195000001236
5,std,4,3,True,0.0019883109999980775
6,std,4,3,True,0.013573619000002424
7,std,16,14,True,0.012324731000003197
8,std,5,4,True,0.00557201599999857
9,std,7,5,True,0.005985595000002064
10,std,4,3,True,0.004655606000000034
11,std,13,11,True,0.010827300999999068
12,std,8,7,True,0.005181709999998674
13,std,73149,10,True,2.554354416999999
14,std,87,12,True,0.0697474019999973
15,std,4,3,True,0.00442133099999964
16,std,346,12,True,0.26165268600000147
17,std,13,11,True,0.005408369999997831
18,std,6,5,True,0.006702692000001065
19,std,4,3,True,0.001437286000001592
20,std,4,3,True,0.013689997000000176
21,std,813700,0,False,11.756763975999998
22,std,184,12,True,0.14929393999999974
23,std,3,2,True,0.011721409000003291
24,std,4,3,True,0.0032231480000035617
25,std,4,3,True,0.0031698590000033278
26,std,5011,0,False,0.8631190689999997
27,std,6,5,True,0.0052476349999963645
28,std,13,11,True,0.005161020000002736
29,std,243,12,True,0.19359426600000518
30,std,4,3,True,0.26773462100000245
31,std,19,14,True,0.01441961999999819
32,std,7,6,True,0.003215439000001652
33,std,10,8,True,0.009075244000001703
34,std,4,3,True,0.004498901999994587
35,std,1000000,0,False,10.791635145999997
36,std,4,3,True,0.005634487999998328
37,std,13,11,True,0.005113861000005215
38,std,10,8,True,0.003978414000002317
39,std,8,7,True,0.018082492999994315
40,std,8,7,True,0.0081046060000034
41,std,4,3,True,0.0029130510000001664
42,std,82,8,True,0.09531249800000552
43,std,4,3,True,0.012953947999996274
44,std,13,11,True,0.00023988899999949354
45,std,4,3,True,0.002101365999997995
46,std,4,3,True,0.0031426860000038914
47,std,756565,0,False,11.977682916
48,std,2,1,True,0.0017419160000002876
49,std,4,3,True,0.005192093000005116
50,std,5,4,True,0.0038421930000041016
51,std,4,3,True,0.003413176000002238
52,std,57563,0,False,3.422839794000005
53,std,4,3,True,0.0014962250000039035
54,std,4,3,True,0.0018998200000055476
55,std,10,8,True,0.03144460000000038
56,std,16480,9,True,6.606802846000001
57,std,11,10,True,0.00853475699999251
58,std,5,4,True,0.0028845369999999093
59,std,10,8,True,0.03829812200000049
60,std,10,8,True,0.007263848000008011
61,std,5,4,True,0.005222602999992887
62,std,426,9,True,0.4225962900000013
63,std,9,8,True,0.005197276999993505
64,std,10,8,True,0.004591720999997051
65,std,876691,0,False,23.199254093999997
66,std,13,11,True,0.0641843900000083
67,std,3579,0,False,0.6302070630000003
68,std,13,11,True,0.06434820600000535
69,std,4,3,True,0.002248636000004467
70,std,17,14,True,0.01664068499999871
71,std,4,3,True,0.006918639000005555
72,std,4,3,True,0.003543297999996753
73,std,4,3,True,0.004623456999993891
74,std,708,14,True,0.5163456319999966
75,std,10,8,True,0.029680712000001108
76,std,6,5,True,0.0060454179999993585
77,std,416273,0,False,8.918774061999997
78,std,1157,9,True,0.46392472199998736
79,std,13,11,True,0.024518694000008168
80,std,5,4,True,0.021544728999998597
81,std,296192,0,False,45.228522704000014
82,std,4,3,True,0.045722979000004216
83,std,4,3,True,0.003602261999986922
84,std,4,3,True,0.0016675329999884525
85,std,870250,0,False,14.169018518000001
86,std,18073,14,True,0.7834385740000016
87,std,1068,0,False,0.23638405100001592
88,std,9918,0,False,3.287819294000002
89,std,6,5,True,0.028457305999978644
90,std,1184,14,True,0.4292667259999803
91,std,44,13,True,0.06005441599998562
92,std,518635,0,False,5.011202115000003
93,std,5,4,True,0.3135537789999887
94,std,13,11,True,0.005816465999998854
95,std,10,9,True,0.008775552999992442
96,std,8352,0,False,0.09627048600000876
97,std,78122,0,False,4.777707268
98,std,4,3,True,0.01269842199999971
99,std,23297,7,True,0.907229228999995
100,std,4,3,True,0.02202909600001135
